127.0.0.1 - - [26/Jan/2026:13:44:39 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:44:39 +0530] "GET /StudentManagementPortal/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:44:39 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:44:39 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:44:48 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:44:48 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:10 +0530] "POST /StudentManagementPortal/student/StudentLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:13 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:47:36 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:47:36 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:47:39 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:47:40 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:47:41 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:47:41 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:47:42 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:48:34 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
