0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:37:53 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=aa HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:37:55 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword= HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:37:56 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=da HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:37:56 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=da HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:37:57 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=dat HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:37:59 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=datth HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:37:59 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=dat HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:00 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=dathri HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:05 +0530] "GET /StudentManagementPortal/admin/ListBatchServlet HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:07 +0530] "POST /StudentManagementPortal/admin/EditBatchServlet HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:11 +0530] "GET /StudentManagementPortal/admin/ListBatchServlet HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:29 +0530] "GET /StudentManagementPortal/admin/ListStudentsServlet HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:32 +0530] "GET /StudentManagementPortal/admin/HomeServlet HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:36 +0530] "GET /StudentManagementPortal/admin/addBatch HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:39 +0530] "GET /StudentManagementPortal/admin/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:39 +0530] "GET /StudentManagementPortal/admin/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:38:39 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:41:07 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:41:07 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:41:19 +0530] "GET /StudentManagementPortal/stydent/login.jsp HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:58:47 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:58:47 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:59:24 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 500 1092
0:0:0:0:0:0:0:1 - - [05/Mar/2026:19:01:53 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:19:01:53 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:19:02:08 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 500 1092
0:0:0:0:0:0:0:1 - - [05/Mar/2026:19:02:35 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:19:02:35 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:19:02:55 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
